type,title,url,id,code,date_edition,date_limite,metier,niveau,experience,lieu,date_publication,entreprise,description_poste,profil_poste,dossier_candidature,email_candidature,description_complete
Emploi,CHEF(FE) CUISINIER(ÈRE) EUROPÉEN(NE) EXPÉRIMENTÉ(E) À D...,https://emploi.educarriere.ci/offre-130146-cheffe-cuisinierere-europeenne-experimentee-a-domicile.html,130146,125969,13/03/2025,24/03/2025,Hôtellerie/Restauration,BAC+2,2 ans,Angré Saint Viateur (résider à proximité est obligatoire),13/03/2025,"Nous recherchons un(e) chef(fe) cuisinier(ère) spécialisé(e) en gastronomie européenne, avec une solide expérience, pour un poste à plein temps à Abidjan (Angré Saint Viateur).

📌 Missions :
✔ Préparer des repas européens raffinés au quotidien avec une attention particulière à la qualité et à la présentation ✔ Gérer les stocks alimentaires et veiller à la fraîcheur des produits ✔ Faire les courses alimentaires et sélectionner des ingrédients de qualité ✔ Effectuer un ménage minutieux et efficace pour garantir une propreté impeccable ✔ Repassage des vêtements et entretien du linge avec soin ✔ Gérer la machine à laver et s'assurer d'un entretien du linge optimal ✔ Offrir un service haut de gamme aux invités, selon les standards des hôtels et restaurants de luxe ✔ Accueillir et servir les invités avec professionnalisme

📅 Conditions de travail :
📆 Horaires : Full Time  📍 Lieu : Angré Saint Viateur (résider à proximité est obligatoire) 💼 Contrat : Temps plein 💰 Salaire attractif + Primes sur performance",,,,,"Description du posteNous recherchons un(e) chef(fe) cuisinier(ère) spécialisé(e) en gastronomie européenne, avec une solide expérience, pour un poste à plein temps à Abidjan (Angré Saint Viateur).

📌 Missions :
✔ Préparer des repas européens raffinés au quotidien avec une attention particulière à la qualité et à la présentation ✔ Gérer les stocks alimentaires et veiller à la fraîcheur des produits ✔ Faire les courses alimentaires et sélectionner des ingrédients de qualité ✔ Effectuer un ménage minutieux et efficace pour garantir une propreté impeccable ✔ Repassage des vêtements et entretien du linge avec soin ✔ Gérer la machine à laver et s'assurer d'un entretien du linge optimal ✔ Offrir un service haut de gamme aux invités, selon les standards des hôtels et restaurants de luxe ✔ Accueillir et servir les invités avec professionnalisme

📅 Conditions de travail :
📆 Horaires : Full Time  📍 Lieu : Angré Saint Viateur (résider à proximité est obligatoire) 💼 Contrat : Temps plein 💰 Salaire attractif + Primes sur performanceProfil du poste📌 Profil recherché :
✅ Expérience confirmée en cuisine européenne (restaurants, hôtels de luxe, services privés) ✅ Excellente maîtrise des techniques de cuisson et dressage de table ✅ Capacité à gérer une cuisine de manière autonome ✅ Personne sérieuse, discrète, propre et organisée ✅ Habiter obligatoirement près de Saint ViateurDossiers de candidature📩 Comment postuler ?

📌 Envoyez-nous :
 ✔ Votre CV à jour
 ✔ Une note vocale (2 min minimum) précisant :


* Votre parcours académique et votre expérience en cuisine européenne

* À combien de temps vous êtes de Saint Viateur actuellement

* ✔ Une vidéo de présentation (2 min minimum) où vous vous exprimez clairement

📲 Postulez via WhatsApp :
 👉 wa.me/2250585750181

Ou directement au
 👉 +225 05 85 75 01 81

⚠ Seules les candidatures complètes seront étudiées.
 ⛔ Ne pas appeler directement – Tout dossier incomplet sera automatiquement rejeté."
Emploi,CODEURS/DÉVELOPPEURS - SENIOR-EXPERT,https://emploi.educarriere.ci/offre-130144-profiles-codeurs-developpeurs-senior-expert.html,130144,125967,13/03/2025,15/04/2025,Informatique,BAC+3,3 ans,COCODY RIVIERA 2,13/03/2025,owise services,"* Vous êtes un développeur Web-Mobile-UI/UX confirmé avec au moins 3 ans d'expériences. * Vous désirez travailler sur des projets à forte valeur ajoutée tout en gardant votre autonomie * Vous êtes rigoureux et parfaitement à l'aise à travailler à distance  * Vous souhaitez valoriser vos compétences et gagner de l'argent   ALORS envoyez nous votre CV et portfolio.  . Ensuite vous passerez nos tests de compétences. . Une fois retenu, vous recevrez des tâches rémunérées à réaliser selon vos compétences. . Vous aurez en plus des opportunités de collaboration avec de nombreux recruteurs potentiels.","* Développeur web/mobile, Designer UI/UX * Tous les niveaux : Senior - Expert * Tous les langages et framework usuels * Travail à distance",*** Envoyez vos CV + Portfolio en fichiers joints à contact@odxcom.net,contact@odxcom.net,"owise services
recrute
CODEURS/DÉVELOPPEURS - SENIOR-EXPERT
 
Description du poste
* Vous êtes un développeur Web-Mobile-UI/UX confirmé avec au moins 3 ans d'expériences. * Vous désirez travailler sur des projets à forte valeur ajoutée tout en gardant votre autonomie * Vous êtes rigoureux et parfaitement à l'aise à travailler à distance  * Vous souhaitez valoriser vos compétences et gagner de l'argent   ALORS envoyez nous votre CV et portfolio.  . Ensuite vous passerez nos tests de compétences. . Une fois retenu, vous recevrez des tâches rémunérées à réaliser selon vos compétences. . Vous aurez en plus des opportunités de collaboration avec de nombreux recruteurs potentiels.
Profil du poste
* Développeur web/mobile, Designer UI/UX * Tous les niveaux : Senior - Expert * Tous les langages et framework usuels * Travail à distance
Dossiers de candidature
*** Envoyez vos CV + Portfolio en fichiers joints à contact@odxcom.net"
Stage,STAGIAIRE EN COMPTABILITÉ,https://emploi.educarriere.ci/offre-130142-stagiaire-en-comptabilite.html,130142,125965,13/03/2025,24/03/2025,Finances/Comptabilité,"BAC+3, BAC+2",,Abidjan - Marcory,13/03/2025,"Sous la supervision d’un comptable confirmé, le stagiaire en comptabilité assistera le service comptable dans les tâches non exhaustives suivantes :

•	Réception et vérification des documents comptables ;
•	Saisies et imputations comptables dans le système ;
•	Élaboration des rapprochements bancaires ;
•	Déclarations fiscales et sociales ;
•	Classement physique et numérique des pièces comptables ;
•	Participation aux travaux d’arrêtés de comptes ;
•	Toute autre mission ou activité du service comptable 


🎯 Pourquoi nous rejoindre ?
•	Une expérience enrichissante et variée au sein d’une équipe dynamique ;
•	Une opportunité d’apprentissage et de montée en compétences ;
•	Un cadre de travail stimulant avec de réelles responsabilités.",,,,,"Description du posteSous la supervision d’un comptable confirmé, le stagiaire en comptabilité assistera le service comptable dans les tâches non exhaustives suivantes :

•	Réception et vérification des documents comptables ;
•	Saisies et imputations comptables dans le système ;
•	Élaboration des rapprochements bancaires ;
•	Déclarations fiscales et sociales ;
•	Classement physique et numérique des pièces comptables ;
•	Participation aux travaux d’arrêtés de comptes ;
•	Toute autre mission ou activité du service comptable 


🎯 Pourquoi nous rejoindre ?
•	Une expérience enrichissante et variée au sein d’une équipe dynamique ;
•	Une opportunité d’apprentissage et de montée en compétences ;
•	Un cadre de travail stimulant avec de réelles responsabilités.Profil du posteProfil recherché

•	Diplômé€ Bac 2 /3 en comptabilité, finance (BTS, DUT, Licence 3…) avec une première expérience en comptabilité (stage ou projet académique) ;
•	Candidat(e) sérieux(se) et ambitieux(se) avec de fortes potentialités techniques ; 
•	Connaissance des logiciels comptables (Sage expert …) ;
•	Maîtrise des outils bureautiques (MS Office)
•	Bonne capacité d’analyse et de synthèse ;
•	Rigueur, organisation et esprit d’équipe ;
•	Excellente maîtrise du français (écrit et oral) et un niveau acceptable en l’anglais ;
•	Possibilité de travailler sous pressionDossiers de candidaturePour postuler, envoyer un Curriculum Vitae, une lettre de motivation et une copie du diplôme à l’adresse suivante : jobseekers.business@gmail.com

🔔 Date limite de candidature : 24 mars"
Stage,PRODUCT MANAGEMENT ANALYST,https://emploi.educarriere.ci/offre-130140-product-management-analyst.html,130140,125963,13/03/2025,24/03/2025,"Informatique, Marketing",BAC+3,1 ans,COCODY-ANGRE,13/03/2025,"Envie de participer à des projets ambitieux ?
Vous êtes passionné(e) par l'innovation et désireux(se) de transformer les idées en produits réussis ?
Si vous répondez oui à ces questions, Rejoignez notre équipe dynamique et donnez un nouvel élan à votre carrière !

Ce que nous recherchons :
Dans le cadre du renforcement de notre équipe nous recherchons un Product Management Analyst
Les Missions :
- Coordonner les activités d’idéation et de conception de prototypes dans le cadre du développement de nouveaux produits.
- Faire un suivi de projet afin de s’assurer que les produits développés sont conformes aux prototypes et à la roadmap convenue, et remonter les éventuels risques.
- Coordonner l’identification et la correction des bugs ainsi que l’ajout de nouvelles fonctionnalités.
- Rédiger les documents de présentations des produits.
- Coordonner l’élaboration et implémentation de plans marketing produits.
- Assister les clients dans la prise en main des produits et founir une assistance technico commerciale durant tout le cycle de vie du client.
- Organiser périodiquement les études de satisfaction client.

Ce que nous offrons :
-Un CDI
- Une rémunération attractive avec des avantages sociaux ;
- Un environnement de travail fun et stimulant ;
- L’opportunité de travailler sur des projets à forts impacts

Qui sommes-nous ?
Arolitec est un fournisseur de solutions digitales et de digitalisation qui compte à ce jour plusieurs centaines de clients corporate dont une trentaine de banques reparties dans une dizaine de pays en Afrique de l’Ouest et centrale francophone.
Notre mission est de simplifier le quotidien des personnes et des entreprises grâce à des solutions technologiques efficaces, fiables, conçues pour l’Afrique.",,,,,"Description du posteEnvie de participer à des projets ambitieux ?
Vous êtes passionné(e) par l'innovation et désireux(se) de transformer les idées en produits réussis ?
Si vous répondez oui à ces questions, Rejoignez notre équipe dynamique et donnez un nouvel élan à votre carrière !

Ce que nous recherchons :
Dans le cadre du renforcement de notre équipe nous recherchons un Product Management Analyst
Les Missions :
- Coordonner les activités d’idéation et de conception de prototypes dans le cadre du développement de nouveaux produits.
- Faire un suivi de projet afin de s’assurer que les produits développés sont conformes aux prototypes et à la roadmap convenue, et remonter les éventuels risques.
- Coordonner l’identification et la correction des bugs ainsi que l’ajout de nouvelles fonctionnalités.
- Rédiger les documents de présentations des produits.
- Coordonner l’élaboration et implémentation de plans marketing produits.
- Assister les clients dans la prise en main des produits et founir une assistance technico commerciale durant tout le cycle de vie du client.
- Organiser périodiquement les études de satisfaction client.

Ce que nous offrons :
-Un CDI
- Une rémunération attractive avec des avantages sociaux ;
- Un environnement de travail fun et stimulant ;
- L’opportunité de travailler sur des projets à forts impacts

Qui sommes-nous ?
Arolitec est un fournisseur de solutions digitales et de digitalisation qui compte à ce jour plusieurs centaines de clients corporate dont une trentaine de banques reparties dans une dizaine de pays en Afrique de l’Ouest et centrale francophone.
Notre mission est de simplifier le quotidien des personnes et des entreprises grâce à des solutions technologiques efficaces, fiables, conçues pour l’Afrique.Profil du posteMinimum BAC+3 en Développement d’application/ Système Informatique ou discipline connexe.
- Avoir une expérience d’au moins 3 ans dans une fonction de Product management ou une fonction similaire.
-Avoir les connaissances de base en développement d’application et/ou système informatique
-Une bonne connaissance de la banque et des systèmes d’informations bancaires serait un atout important.
-Avoir d’excellentes capacités rédactionnelles en Français.
-Avoir de bonnes compétences analytiques et être orienté client.
-Être autonome et capable de travailler en équipe.
-Une connaissance du concept de design thinking et/ou maitrise de l’Anglais serait un atout important.Dossiers de candidaturerecrutement@arolitec.com"
Emploi,CONDUCTEUR CHARGEUSE,https://emploi.educarriere.ci/offre-130138-conducteur-chargeuse.html,130138,125961,13/03/2025,24/03/2025,"Génie Civil/Travaux publics, Transport (Chauffeur)","BAC+2, BAC",5 ans,Abidjan et villes intérieurs du pays,13/03/2025,"Prestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers, de concassage mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP

Pour les besoins de nos activités, nous recrutons

- Un chauffeur Chargeuse",,,,,"Description du postePrestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers, de concassage mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP

Pour les besoins de nos activités, nous recrutons

- Un chauffeur ChargeuseProfil du posteNous recrutons un Collaborateur
- possédant:
1- au minimum 5 années d'expériences au poste indiqué
2- Des connaissances théoriques et pratiques sur tous les aspects de BTP, travaux routiers et construction

COMPETENCES :
1- Maîtrise de la conduite de l’engin
2- Capacités analytiques


Le candidat doit également posséder les aptitudes professionnelles suivantes :
Pragmatisme , Dynamisme, Anticipation, Communication, Contrôle, Esprit d’équipe, Rigueur, méthode, réactivité, Disponibilité, grande capacité de travail, MéticuleuxDossiers de candidatureVous avez envie d’intégrer une entreprise dynamique, favorisant l’autonomie et l’initiative ?
Alors, l’opportunité que nous offrons doit vous intéresser, sachez la saisir, rejoignez-nous ! 
Pour faire acte de candidature, merci d’adresser votre CV  arquette.konan@emergim.ci
Aucun document (CV / Lettre de motivation) en version papier ne sera reçu.
Nous nous réservons le droit de ne répondre qu’aux dossiers présélectionnés."
Emploi,CONDUCTEUR PELLE/BRISE ROCHE,https://emploi.educarriere.ci/offre-130137-conducteur-pelle-brise-roche.html,130137,125960,13/03/2025,24/03/2025,Transit/Transport,"BAC+2, BAC",2 ans,Abidjan et villes intérieurs du pays,13/03/2025,"Prestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP


Pour les besoins de nos activités, nous recrutons un Opérateur de pelle qui assurera une conduite efficace de la machine, veillera à l'entretien de celle-ci et préviendra toute défectuosité mécanique se présentant.",,,,,"Description du postePrestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP


Pour les besoins de nos activités, nous recrutons un Opérateur de pelle qui assurera une conduite efficace de la machine, veillera à l'entretien de celle-ci et préviendra toute défectuosité mécanique se présentant.Profil du posteNous recrutons un Opérateur de pelle
- possédant:
1- au minimum 2 années d'expériences au poste indiqué
2- Des connaissances théoriques et pratiques sur tous les aspects de BTP, travaux routiers et construction

COMPETENCES :
1- Maîtrise de la conduite d'une pelle automatique
2- Capacités analytiques


Le candidat doit également posséder les aptitudes professionnelles suivantes :
Pragmatisme , Dynamisme, Anticipation, Communication, Contrôle, Esprit d’équipe, Rigueur, méthode, réactivité, Disponibilité, grande capacité de travail, Méticuleux.Dossiers de candidatureVous avez envie d’intégrer une entreprise dynamique, favorisant l’autonomie et l’initiative ?
Alors, l’opportunité que nous offrons doit vous intéresser, sachez la saisir, rejoignez-nous ! 
Pour faire acte de candidature, merci d’adresser votre CV  arquette.konan@emergim.ci
Aucun document (CV / Lettre de motivation) en version papier ne sera reçu.
Nous nous réservons le droit de ne répondre qu’aux dossiers présélectionnés"
Emploi,TECHNICIEN FROID,https://emploi.educarriere.ci/offre-130135-technicien-froid.html,130135,125958,13/03/2025,24/03/2025,"Froid, Maintenance des Systèmes de Production","CAP, BAC+2, BT",2 ans,"ABIDJAN, COTE D'IVOIRE",13/03/2025,"Rattaché au service technique, en tant que Technicien Froid, vous aurez pour mission l’installation des équipements de froid et de climatisation des différentes Usines de l’entreprise. Vous serez aussi chargé de l’entretien, du dépannage et du suivi des installations frigorifiques (froid commercial, froid industriel, …) ou d’équipements de conditionnement d’air et de climatisation.",,,,,"Description du posteRattaché au service technique, en tant que Technicien Froid, vous aurez pour mission l’installation des équipements de froid et de climatisation des différentes Usines de l’entreprise. Vous serez aussi chargé de l’entretien, du dépannage et du suivi des installations frigorifiques (froid commercial, froid industriel, …) ou d’équipements de conditionnement d’air et de climatisation.Profil du posteVous avez un BT minimum en, électricité, maintenance de système de production industriel, génie mécanique et productique.
- Vous justifiez d’une expérience de 2 ans minimum au sein d’un service technique en tant que Technicien Froid industriel ou agent de maintenance froid dans un environnement industriel.Dossiers de candidatureVous rêvez de rejoindre une entreprise dynamique, et l’un des leader dans son domaine d'activité ?
Si oui, nous serons très heureux de vous compter au sein de notre équipe.

Prière de cliquer sur le lien et suivre les instructions pour la soumission de votre candidature : https://lnkd.in/eVyMQWdW

Lieu de travail : Abidjan Côte d’Ivoire

NB : L'accès au formulaire de candidature nécessite une authentification d'identité. Votre CV vous sera demandé, prière de l'avoir sur l'appareil que vous utiliserez pour candidater."
Emploi,COMPTABLE,https://emploi.educarriere.ci/offre-130131-comptable.html,130131,125954,13/03/2025,24/03/2025,Finances/Comptabilité,BAC+3,5 ans,BENIN / TOGO / GHANA / NIGERIA / CÔTE D'IVOIRE,13/03/2025,"Principales activités

• Imputer et saisir les pièces comptables du récipiendaire principal,

• Imputer et saisir les pièces comptables des sous récipiendaires,

• Classer rigoureusement les pièces comptables saisies,

• Archiver rigoureusement les documents comptables et financiers du projet,

• Préparer les états de missions et saisie des avances,

• Vérifier et liquider les pièces justificatives des avances,

• Préparer les chèques et ordres de virements,

• Participer à la Préparation des états financiers,

• Participer à l’élaboration et à la révision des budgets ;

• Participer à la clôture des comptes,

• Participer aux travaux préparatifs d’audit externe et interne,

• Participer aux inventaires physiques des immobilisations et équipements des projets,

• Assurer la gestion rationnelle des biens des projets,

• Exécuter toute autre tâche demandée dans le cadre du projet par le Chef Comptable ou le Comptable Sénior.",,,,,"Description du postePrincipales activités

• Imputer et saisir les pièces comptables du récipiendaire principal,

• Imputer et saisir les pièces comptables des sous récipiendaires,

• Classer rigoureusement les pièces comptables saisies,

• Archiver rigoureusement les documents comptables et financiers du projet,

• Préparer les états de missions et saisie des avances,

• Vérifier et liquider les pièces justificatives des avances,

• Préparer les chèques et ordres de virements,

• Participer à la Préparation des états financiers,

• Participer à l’élaboration et à la révision des budgets ;

• Participer à la clôture des comptes,

• Participer aux travaux préparatifs d’audit externe et interne,

• Participer aux inventaires physiques des immobilisations et équipements des projets,

• Assurer la gestion rationnelle des biens des projets,

• Exécuter toute autre tâche demandée dans le cadre du projet par le Chef Comptable ou le Comptable Sénior.Profil du posteQualification & expérience requises
Formation : BAC + 3 en Comptabilité Gestion ou tout autre titre équivalent
Expérience : Cinq (5) ans d’expériences professionnelles en gestion des ressources humaines

Aptitudes professionnelles
- Connaissances en droit social et de la législation du travail au Bénin.
- Maîtrise la législation et la réglementation du travail
- Maîtrise des outils spécifiques de la gestion des ressources humaines, 
- Maîtrise des outils bureautiques pack office Microsoft, et logiciel RH,
- Maîtrise des technologies de la communication et de l’information
- Excellente capacité rédactionnelle
- Sens de l’écoute et de la négociation
- Capacité d’adaptation, discrétion, sens de la confidentialité, esprit d’équipe, méthode, rigueur, organisation, communication orale.

NB : Seuls les candidats présélectionnés seront contactés pour la suite du processus.Dossiers de candidaturePrière de transmettre vos CV, lettre de motivation et attestations de travail par mail à l'adresse suivante: contact@groupfci.com"
Emploi,CHEF CARRIERE,https://emploi.educarriere.ci/offre-130129-chef-carriere.html,130129,125952,13/03/2025,24/03/2025,"Génie Civil/Travaux publics, Mines/Géologie/Pétrole",BAC+5,7 ans,Abidjan et villes intérieurs du pays,13/03/2025,"Prestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers, de concassage mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP


Pour les besoins de nos activités nous recrutons un Responsable/chef carrière qui sera chargé de :

• Veiller au rendement du chantier
• Superviser les travaux des différentes équipes en place sur le chantier
• Animer, coordonner et manager les équipes
• Contrôler les procédures de production
• Conduire les actions d’amélioration continue
• Relayer l’ensemble des informations nécessaires au bon fonctionnement de ses équipes
• Identifier les dysfonctionnements et y pallier
• Assurer le reporting et le suivi des données de production
• Partager et veiller à ce que les Bonnes Pratiques et règles de sécurité soient appliquées par tous les collaborateurs",,,,,"Description du postePrestataire de services en Côte d’Ivoire – mais intervenant aussi dans la sous-région, EMERGIM SA est une société, de travaux publics et de construction fondée en 2014.
La société a connu une ascension constante au cours des années en passant de SARL à SA – montrant ainsi sa capacité de résilience et son professionnalisme qui a su convaincre et rassurer ses partenaires. Entreprise de BTP-Génie Civil apte et spécialisée dans la réalisation de tous types de marchés (publics / privés), EMERGIM SA intervient non seulement dans les Travaux Routiers, de concassage mais aussi dans l’Energie et l’Electricité. S’étant dotée de collaborateurs experts dans leurs domaines d’interventions techniques et particulièrement pointilleux, EMERGIM SA sait compter sur leur réactivité et leurs niveaux de compétences pour se démarquer des entreprises évoluant dans le secteur du BTP


Pour les besoins de nos activités nous recrutons un Responsable/chef carrière qui sera chargé de :

• Veiller au rendement du chantier
• Superviser les travaux des différentes équipes en place sur le chantier
• Animer, coordonner et manager les équipes
• Contrôler les procédures de production
• Conduire les actions d’amélioration continue
• Relayer l’ensemble des informations nécessaires au bon fonctionnement de ses équipes
• Identifier les dysfonctionnements et y pallier
• Assurer le reporting et le suivi des données de production
• Partager et veiller à ce que les Bonnes Pratiques et règles de sécurité soient appliquées par tous les collaborateursProfil du posteNous recrutons un Collaborateur
- possédant :
1- au minimum 7 années d'expériences aux postes indiqués et 5 années minimum dans une entreprise de BTP
2- Des connaissances théoriques et pratiques sur tous les aspects de BTP et concassage
3- avoir travaillé 3 ans au minimum dans une carrière serait un atout

COMPETENCES :
Le candidat doit posséder les aptitudes professionnelles suivantes :
Pragmatisme, Dynamisme, Anticipation, Communication, Contrôle, Esprit d’équipe, Rigueur, méthode, réactivité, Disponibilité, grande capacité de travail, MéticuleuxDossiers de candidatureVous avez envie d’intégrer une entreprise dynamique, favorisant l’autonomie et l’initiative ?
Alors, l’opportunité que nous offrons doit vous intéresser, sachez la saisir, rejoignez-nous ! 
Pour faire acte de candidature, merci d’adresser votre CV  arquette.konan@emergim.ci
Aucun document (CV / Lettre de motivation) en version papier ne sera reçu.
Nous nous réservons le droit de ne répondre qu’aux dossiers présélectionnés"
Consultance,CONSULTANT DANS LES MÉTIERS DE LA BANQUE,https://emploi.educarriere.ci/offre-130127-consultant-dans-les-metiers-de-la-banque.html,130127,125950,13/03/2025,24/03/2025,"Banque, Commerce/Ventes, Marketing","BAC+5, BAC+6, BAC+7 et plus",10 ans,Côte d’ivoire et Cameroun,13/03/2025,OLO SOURCING,OLO Sourcing recrute un (e) Consultant très (e) Expérimenté (e) dans le domaine bancaire pour l’animation de sessions de formation sur :   1- Les Techniques de Vente en Direction de la Clientèle Entreprise 2- L'expérience client,"Au moins Bac +5, Banque, Finance Au moins 10 ans d'expérience et de pratique sur les thématiques Expérience Internationale requise",Dossier de candidature : CV + Références + Copie des diplômes  Mail : filesadvci1@gmail.com,filesadvci1@gmail.com,"OLO SOURCING
recrute
CONSULTANT DANS LES MÉTIERS DE LA BANQUE
 
Description du poste
OLO Sourcing recrute un (e) Consultant très (e) Expérimenté (e) dans le domaine bancaire pour l’animation de sessions de formation sur :   1- Les Techniques de Vente en Direction de la Clientèle Entreprise 2- L'expérience client
Profil du poste
Au moins Bac +5, Banque, Finance Au moins 10 ans d'expérience et de pratique sur les thématiques Expérience Internationale requise
Dossiers de candidature
Dossier de candidature : CV + Références + Copie des diplômes  Mail : filesadvci1@gmail.com"
