type,title,url,id,code,date_edition,date_limite,metier,niveau,experience,lieu,date_publication,entreprise,description_poste,profil_poste,dossier_candidature,email_candidature,description_complete
Emploi,MANŒUVRE AGRICOLE,https://emploi.educarriere.ci/offre-129972-man-uvre-agricole.html,129972,125795,11/03/2025,24/03/2025,"Agriculture, Agronomie, Elevage",BEPC,,Abidjan ( Kodiakro),11/03/2025,Manœuvre Agricole,,,,,Description du posteManœuvre AgricoleProfil du posteManœuvre AgricoleDossiers de candidatureCV et lettre de motivation à dekakouame@gmail.com
Stage,STAGIAIRE MARKETTING,https://emploi.educarriere.ci/offre-129971-stagiaire-marketting.html,129971,125794,11/03/2025,24/03/2025,Marketing,"BAC+4, BAC+3",1 ans,Abidjan,11/03/2025,"Entreprise spécialisée dans le marketing opérationnel, offrant des solutions créatives et stratégiques à des entreprises de divers secteurs. Nous recherchons un(e) stagiaire motivé(e) pour rejoindre notre équipe et participer à la mise en place de projets marketing opérationnels pour nos clients.

•	Participer à la gestion et à l’optimisation des campagnes marketing sur différents canaux (digital, événements, promotions en point de vente).
•	Contribuer à l’élaboration de la stratégie marketing et à l’activation des projets sur le terrain.
•	Suivre et analyser les performances des actions menées, et proposer des ajustements.
•	Aider à la création de supports de communication pour les campagnes (emails, flyers, affiches, etc.).
•	Collaborer avec les équipes commerciales et créatives pour assurer le bon déroulement des projets.",,,,,"Description du posteEntreprise spécialisée dans le marketing opérationnel, offrant des solutions créatives et stratégiques à des entreprises de divers secteurs. Nous recherchons un(e) stagiaire motivé(e) pour rejoindre notre équipe et participer à la mise en place de projets marketing opérationnels pour nos clients.

•	Participer à la gestion et à l’optimisation des campagnes marketing sur différents canaux (digital, événements, promotions en point de vente).
•	Contribuer à l’élaboration de la stratégie marketing et à l’activation des projets sur le terrain.
•	Suivre et analyser les performances des actions menées, et proposer des ajustements.
•	Aider à la création de supports de communication pour les campagnes (emails, flyers, affiches, etc.).
•	Collaborer avec les équipes commerciales et créatives pour assurer le bon déroulement des projets.Profil du poste•	Étudiant(e) en marketing, communication, ou domaine similaire.
•	Intérêt pour le marketing opérationnel et les actions terrain.
•	Bonne maîtrise des outils bureautiques (Excel, PowerPoint, Word), et des outils de communication digitale est un plus.
•	Créativité, sens de l’organisation, et capacité à travailler en équipe.Dossiers de candidatureCV+LM à L adresse suivante: recrutement.rh.r225@gmail.com avec en objet : STAGIAIRE MARKETING"
Stage,MANOEUVRE SPECIALISÉ,https://emploi.educarriere.ci/offre-129970-manoeuvre-specialise.html,129970,125793,11/03/2025,24/03/2025,"Electromécanique, Electrotechnique/Electricité","CAP, BT",,Côte d'Ivoire,11/03/2025,LECAT,,"Le candidat devra  - Avoir un Niveau BT ou CAP - Avoir une connaissance en informatique, - Savoir lire et écrire, - Etre courtois, respectueux sociable, - Etre capable de travailler en équipe et sous pression.",cv à envoyé à l'adresse mail suivant : recrutement@labolecat.com  Veuillez mentionner l'intitulé du poste en objet,recrutement@labolecat.com,"LECAT
recrute
MANOEUVRE SPECIALISÉ
 
Profil du poste
Le candidat devra  - Avoir un Niveau BT ou CAP - Avoir une connaissance en informatique, - Savoir lire et écrire, - Etre courtois, respectueux sociable, - Etre capable de travailler en équipe et sous pression.
Dossiers de candidature
cv à envoyé à l'adresse mail suivant : recrutement@labolecat.com  Veuillez mentionner l'intitulé du poste en objet"
Emploi,01 RESPONSABLE BUREAU D’ETUDES (H/F),https://emploi.educarriere.ci/offre-129969-01-responsable-bureau-d-etudes-h-f.html,129969,125792,11/03/2025,24/03/2025,Mécanique,BAC+5,7 ans,Côte d'Ivoire,11/03/2025,VARIANCE GRH,"Placé sous la supervision directe de la Direction Générale, le Responsable Bureau d’Etudes a essentiellement pour mission d’assurer le suivi des études de chiffrage et d’exécution, et de coordonner les activités du Bureau d’études.  A cet effet, ses attributions sont les suivantes :  - Mener des études de conception (dimensionnement, solidité des éléments...) ; - Faire les études et notes de calculs de conception et les faire valider par les organismes de contrôles de structure, métrés, montage de dossier d’appel d’offres, contrôle et suivi des travaux ; - Déterminer les moyens nécessaires à la production et analyser les données d’activité ; - Effectuer des simulations pour déterminer les procédés techniques à utiliser ; - Réaliser les dessins d’équipements, de charpente métallique, métré tout corps d’état ; - Elaborer le budget de chantier (DQE) ; - Monter les dossiers d’appels d’offres ; - Faire un suivi et contrôle du chantier ; - Négocier et contracter les modifications ou extensions des travaux ; - Rédiger les rapports d’activités et des études réalisées ; - Représenter l’entreprise au cours des réunions de chantiers et/ou avec les partenaires ; - Assurer un appui technico-commercial : vendre des équipements professionnels aux entreprises et les adapter aux besoins particuliers des clients ; - Assurer l’encadrement et la formation du personnel du Bureau d’études ; - Faire la veille normative ; - Veiller au suivi des plannings.","Avec une expérience avérée de plus de sept (7) années à un poste similaire, vous êtes Ingénieur ou titulaire d’un BAC+5 en Mécanique. En plus de la maitrise du Pack Office, vous avez une bonne pratique des logiciels AUTOCAD, INVENTOR, REVIT, SolidWorks. Organisé, rigoureux, créatif, pragmatique, méthodique, planificateur et doté d’une vision stratégique, vous êtes apte à travailler sous pression et sur plusieurs projets à la fois dans le respect des procédures établies. Par ailleurs, disponible, dynamique et résistant au stress, votre sens de l’écoute, de la communication, de contrôle et du management cumulé à votre capacité d’anticipation et d’adaptation vous permettront de tenir ce poste.  NB : Être parfaitement bilingue (Français/Anglais)","Merci de nous envoyer avant le 24/02/2025, lettre de motivation avec prétentions salariales, 02 photos et CV à VARIANCE GRH sis : TREICHVILLE, Avenue 17 rue 38. tel : 27 21 74 68 14 ; 01 40-65-80-31 / 05 75 13 46 65 Site web : www.variancegrh.com/Emploi  Email: recrutement@variancegrh.com",recrutement@variancegrh.com,"VARIANCE GRH
RECRUTE POUR UNE IMPORTANTE ENTREPRISE DANS  LE DOMAINE DE L’INGIENIERIE, LA FABRICATION ET LES TRAVAUX INDUSTRIELS
01 RESPONSABLE BUREAU D’ETUDES (H/F)
 
Description du poste
Placé sous la supervision directe de la Direction Générale, le Responsable Bureau d’Etudes a essentiellement pour mission d’assurer le suivi des études de chiffrage et d’exécution, et de coordonner les activités du Bureau d’études.  A cet effet, ses attributions sont les suivantes :  - Mener des études de conception (dimensionnement, solidité des éléments...) ; - Faire les études et notes de calculs de conception et les faire valider par les organismes de contrôles de structure, métrés, montage de dossier d’appel d’offres, contrôle et suivi des travaux ; - Déterminer les moyens nécessaires à la production et analyser les données d’activité ; - Effectuer des simulations pour déterminer les procédés techniques à utiliser ; - Réaliser les dessins d’équipements, de charpente métallique, métré tout corps d’état ; - Elaborer le budget de chantier (DQE) ; - Monter les dossiers d’appels d’offres ; - Faire un suivi et contrôle du chantier ; - Négocier et contracter les modifications ou extensions des travaux ; - Rédiger les rapports d’activités et des études réalisées ; - Représenter l’entreprise au cours des réunions de chantiers et/ou avec les partenaires ; - Assurer un appui technico-commercial : vendre des équipements professionnels aux entreprises et les adapter aux besoins particuliers des clients ; - Assurer l’encadrement et la formation du personnel du Bureau d’études ; - Faire la veille normative ; - Veiller au suivi des plannings.
Profil du poste
Avec une expérience avérée de plus de sept (7) années à un poste similaire, vous êtes Ingénieur ou titulaire d’un BAC+5 en Mécanique. En plus de la maitrise du Pack Office, vous avez une bonne pratique des logiciels AUTOCAD, INVENTOR, REVIT, SolidWorks. Organisé, rigoureux, créatif, pragmatique, méthodique, planificateur et doté d’une vision stratégique, vous êtes apte à travailler sous pression et sur plusieurs projets à la fois dans le respect des procédures établies. Par ailleurs, disponible, dynamique et résistant au stress, votre sens de l’écoute, de la communication, de contrôle et du management cumulé à votre capacité d’anticipation et d’adaptation vous permettront de tenir ce poste.  NB : Être parfaitement bilingue (Français/Anglais)
Dossiers de candidature
Merci de nous envoyer avant le 24/02/2025, lettre de motivation avec prétentions salariales, 02 photos et CV à VARIANCE GRH sis : TREICHVILLE, Avenue 17 rue 38. tel : 27 21 74 68 14 ; 01 40-65-80-31 / 05 75 13 46 65 Site web : www.variancegrh.com/Emploi  Email: recrutement@variancegrh.com"
Emploi,COMPTABLE - EMPLOI CDD/CDI (H/F),https://emploi.educarriere.ci/offre-129968-comptable-emploi-cdd-cdi-h-f.html,129968,125791,11/03/2025,24/03/2025,Informatique,"BAC+3, BAC+4",4 ans,COCODY RIVIERA BONOUMIN,11/03/2025,FYLE GROUP,"Il s'agira pour vous de : - traiter les factures - faire les déclarations - faire des saisies dans le logiciel SAARI, - faire les états financiers - faire des courses administratives - faire d'autres tâches","- Etre comptable de formation, - Avoir au moins 4 ans d'expérience dans la pratique de la comptabilité. - Etre capable d'utiliser SAARI I7 - Avoir de l'expérience dans le secteur Informatique",Envoyez votre Cv avec photo + Lettre de motivation + prétention salariale dans le corps du mail à recrutement@fyle-group.com  avant le 24/03/2025,recrutement@fyle-group.com,"FYLE GROUP
recrute
COMPTABLE (H/F)
 
Description du poste
Il s'agira pour vous de : - traiter les factures - faire les déclarations - faire des saisies dans le logiciel SAARI, - faire les états financiers - faire des courses administratives - faire d'autres tâches
Profil du poste
- Etre comptable de formation, - Avoir au moins 4 ans d'expérience dans la pratique de la comptabilité. - Etre capable d'utiliser SAARI I7 - Avoir de l'expérience dans le secteur Informatique
Dossiers de candidature
Envoyez votre Cv avec photo + Lettre de motivation + prétention salariale dans le corps du mail à recrutement@fyle-group.com  avant le 24/03/2025"
Emploi,05 ASSISTANTES JURIDIQUES,https://emploi.educarriere.ci/offre-129967-05-assistantes-juridiques.html,129967,125790,11/03/2025,24/03/2025,Juridique/Droit,"BAC+7 et plus, BAC+6, BAC+5, BAC+4, BAC+3, BAC+2",,Cocody Angré 8ème tranche,11/03/2025,"Dans le cadre du développement de ses activités, CAGESSTRA (Cabinet de Gestion Stratégique) et ses Partenaires, recrutent cinq (05) Assistantes Juridiques résidant dans la commune de Cocody.

TRAVAIL A FAIRE
Cette personne doit s’y connaître :
•	Conseil et Assistance Juridique
•	Organisation et suivi et des tâches du service juridique
•	Préparation des dossiers juridiques du cabinet
•	Préparation des dossiers à transmettre aux axillaires de justice
•	Préparation et rédaction des actes simples (Compte-Rendu, note de synthèse)
•	Réception, constitution et rangement des dossiers juridiques 
•	Rédaction des différents contrats du Cabinet
•	Veille Juridique
•	Mise en œuvre des formalités administratives et des procédures juridiques.",,,,,"Description du posteDans le cadre du développement de ses activités, CAGESSTRA (Cabinet de Gestion Stratégique) et ses Partenaires, recrutent cinq (05) Assistantes Juridiques résidant dans la commune de Cocody.

TRAVAIL A FAIRE
Cette personne doit s’y connaître :
•	Conseil et Assistance Juridique
•	Organisation et suivi et des tâches du service juridique
•	Préparation des dossiers juridiques du cabinet
•	Préparation des dossiers à transmettre aux axillaires de justice
•	Préparation et rédaction des actes simples (Compte-Rendu, note de synthèse)
•	Réception, constitution et rangement des dossiers juridiques 
•	Rédaction des différents contrats du Cabinet
•	Veille Juridique
•	Mise en œuvre des formalités administratives et des procédures juridiques.Profil du postePROFIL
-	Être âgée de 25  à 45 ans au plus ;
-	Avoir le niveau minimum de BAC + 2 et  plus
-	Bonne capacité rédactionnelle
-	Maîtrise parfaite de l’outil informatique (Word, Excel, Internet et réseaux sociaux)Dossiers de candidaturePIECES A FOURNIR
-	Fournir uniquement un CV tenant sur une seule page avec photo couleur
-	Indiquer la commune et le quartier où vous résidez en tête du CV
-	Indiquer un seul contact téléphonique (N° WhatsApp)
-	Indiquer une adresse mail valide 
-	Envoyer le CV par mail à l’adresse suivante : cagesstra.info@gmail.com
NB : -	Seules les personnes qui seront retenues pourront être contactées pour l’entretien au siège de l’entreprise CAGESSTRA.
-	Délivrance d’attestation de stage ou un certificat de travail en fin de contrat.
Rémunération : 150 000 F CFA / mois
Situation géographique : Abidjan-Cocody-Angré 8ème  tranche, entre la CIE et le Super Marché AUCHAN, en face de la Station SHELL-KFC, dans l’Immeuble LA RESIDENCE DE LA PAIX, 1er Etage porte A4-2, dans le même immeuble que CHIKEN NATION.
Tél : 27 24 58 55 25 / 05 66 24 71 71 / 05 66 02 16 16     Email : cagesstra.info@gmail.com"
Stage,STATIAIRE  INFOGRAPHE (PERFECTIONNEMENT),https://emploi.educarriere.ci/offre-129965-statiaire-infographe-perfectionnement.html,129965,125788,11/03/2025,31/03/2025,"Communication, Infographie",BAC+2,1 ans,Abidjan Cocody Angré CHU,11/03/2025,"Sous supervision et instruction du responsable a le communication, le stagiaire aidera :

Mise en place d’une charte graphique
* Conception de logos avec modélisation 3D
* Conception d’affiches,
* Montage vidéo


BAC+2 en infographiste, web design, multimédia, communication

* Force de proposition
* Faire preuve de réactivité

PRIME : 60.000 FCFA",,,,,"Description du posteSous supervision et instruction du responsable a le communication, le stagiaire aidera :

Mise en place d’une charte graphique
* Conception de logos avec modélisation 3D
* Conception d’affiches,
* Montage vidéo


BAC+2 en infographiste, web design, multimédia, communication

* Force de proposition
* Faire preuve de réactivité

PRIME : 60.000 FCFAProfil du posteSavoir-faire :

•Mise en place d’une charte graphique
* Conception de logos avec modélisation 3D
* Conception d’affiches et d’emballages de produits divers.
* Très bonne maitrise des logiciels d’image et vidéo (Adobe Photoshop)
* Doté une grande imagination
* Un grand Créatif
* Esprit d’anticipation et force de proposition
* Réactif et persévérant
. Montage vidéoDossiers de candidatureMerci d’envoyer votre candidature sur l’email suivant : recrutementgkgroup@gmail.com


* CV
* portefolio"
Emploi,FOREUR MINIER,https://emploi.educarriere.ci/offre-129964-foreur-minier.html,129964,125787,11/03/2025,31/03/2025,Généraliste,"BAC, BT",2 ans,Côte d'Ivoire,11/03/2025,"SNS recrute pour un client dans le secteur minier à Abidjan un Foreur minier

Le foreur minier est responsable des opérations de forage en respectant les normes de sécurité.

Le titulaire du poste doit :

Installer et manipuler les équipements de fourrage.

Suivre les plans de fourrage et les consignes de sécurité.

Assurer l’entretien et la maintenance des outils.

Contrôler la qualité des fourrages effectués.",,,,,"Description du posteSNS recrute pour un client dans le secteur minier à Abidjan un Foreur minier

Le foreur minier est responsable des opérations de forage en respectant les normes de sécurité.

Le titulaire du poste doit :

Installer et manipuler les équipements de fourrage.

Suivre les plans de fourrage et les consignes de sécurité.

Assurer l’entretien et la maintenance des outils.

Contrôler la qualité des fourrages effectués.Profil du posteDiplôme : BAC/ BT

Expérience : 2 ans minimum en forage minierDossiers de candidatureCandidature : Envoyez votre CV à recrutement@sns.ci avec l'objet : ""Foreur minier"".

Date limite : Offre valable jusqu’au 31/03/2025"
Stage,STATIAIRE  ASSISTANTE DU DIRECTEUR GÉNÉRAL,https://emploi.educarriere.ci/offre-129963-statiaire-assistante-du-directeur-general.html,129963,125786,11/03/2025,30/03/2025,"Commerce et Administration des Entreprises, Communication, Commerce/Ventes, Marketing",BAC+2,,Lieu de service : Abidjan Cocody Angré CHU,11/03/2025,"ous êtes dynamique, organisée et passionnée par le marketing et la communication ? Rejoignez Geny's Group en tant qu’Assistante du Directeur Général pour un stage de 6 mois.

Profil recherché :

Formation en marketing, vente, communication ou domaine similaire

Bonne maîtrise des réseaux sociaux et des outils de communication digitale

Excellentes compétences en communication orale et écrite

Sens de l'organisation et capacité à travailler en autonomie",,,,,"Description du posteous êtes dynamique, organisée et passionnée par le marketing et la communication ? Rejoignez Geny's Group en tant qu’Assistante du Directeur Général pour un stage de 6 mois.

Profil recherché :

Formation en marketing, vente, communication ou domaine similaire

Bonne maîtrise des réseaux sociaux et des outils de communication digitale

Excellentes compétences en communication orale et écrite

Sens de l'organisation et capacité à travailler en autonomieProfil du posteous êtes dynamique, organisée et passionnée par le marketing et la communication ? Rejoignez Geny's Group en tant qu’Assistante du Directeur Général pour un stage de 6 mois.

Profil recherché :

Formation en marketing, vente, communication ou domaine similaire

Bonne maîtrise des réseaux sociaux et des outils de communication digitale

Excellentes compétences en communication orale et écrite

Sens de l'organisation et capacité à travailler en autonomie

Conditions du stage :

Durée : 6 mois

Prime : 60 000 FCFA / moisDossiers de candidatureComment postuler ?

Envoyez votre CV à l’adresse suivante :
📩 recrutementgkgroup@gmail.com"
Stage,COMMERCIALE,https://emploi.educarriere.ci/offre-129962-commerciale.html,129962,125785,11/03/2025,14/03/2025,"Communication, Commerce/Ventes",BAC+2,1 ans,COCODY RIVIERA PALMERAIE,11/03/2025,"Notre entreprise recherche une stagiaire Commerciale pour rejoindre notre équipe. Si vous souhaitez acquérir une expérience dans le domaine professionnel, alors cette opportunité est faite pour vous !

Missions:

Prospecter de nouveaux clients et entretenir des relations commerciales.
Participer à la gestion des portefeuilles clients.
Collaborer à la mise en œuvre de nos stratégies commerciales.
Analyser les besoins clients et proposer des solutions adaptées.
Contribuer à l’atteinte des objectifs commerciaux de l’entreprise.",,,,,"Description du posteNotre entreprise recherche une stagiaire Commerciale pour rejoindre notre équipe. Si vous souhaitez acquérir une expérience dans le domaine professionnel, alors cette opportunité est faite pour vous !

Missions:

Prospecter de nouveaux clients et entretenir des relations commerciales.
Participer à la gestion des portefeuilles clients.
Collaborer à la mise en œuvre de nos stratégies commerciales.
Analyser les besoins clients et proposer des solutions adaptées.
Contribuer à l’atteinte des objectifs commerciaux de l’entreprise.Profil du posteProfil souhaité
Étudiante en commerce, marketing ou équivalent.
Bonne capacité relationnelle et goût pour le contact client.
Organisé(e), autonome et force de proposition.
Maitrise des outils informatiques.
Instructions pour postulerDossiers de candidaturePour postuler, veuillez envoyer votre cv à cette adresse : cabinetcarrick@gmail.com"
